
Campos del recurso

Nombre 			    Tipo 		Descripción
id_hecho 		    string 		Identificador unico del siniestro
fecha 			    date 		Fecha en formato dd/mm/aaaa
aaaa 			    string 		Año
victima 		    string 		Vehículo que ocupaba quien haya fallecido a se haya lastimado a raíz del hecho, o bien peatón/a
sexo_victima 		string 		Sexo informado por fuente policial de la víctima
edad_victima 		string 		Edad de la víctima al momento del siniestro
gravedad 		    string 		Nivel máximo conocido de gravedad de la lesión de la víctima del siniestro en función del tiempo de hospitalización
rol_victima 		string 		Posición relativa al vehículo que presentaba la víctima en el momento del siniestro
fecha_fallecimiento string 		Fecha de fallecimiento de las víctimas Mortales. Valor NA (no aplica) para las víctimas no fallecidas
